央视卫视HD,#genre#
CCTV-1综合,http://45.192.97.170:8880/play/380.m3u8
CCTV-2财经,http://45.192.97.170:8880/play/381.m3u8
CCTV-3综艺,http://45.192.97.170:8880/play/382.m3u8
CCTV-4中文国际,http://45.192.97.170:8880/play/383.m3u8
CCTV-5体育,http://45.192.97.170:8880/play/384.m3u8
CCTV-5+HD,http://45.192.97.170:8880/play/385.m3u8
CCTV-6电影,http://45.192.97.170:8880/play/386.m3u8
CCTV-7国防军事,http://45.192.97.170:8880/play/387.m3u8
CCTV-8电视剧,http://45.192.97.170:8880/play/388.m3u8
CCTV-9纪录,http://45.192.97.170:8880/play/389.m3u8
CCTV-10科教,http://45.192.97.170:8880/play/390.m3u8
CCTV-11戏曲,http://45.192.97.170:8880/play/391.m3u8
CCTV-12社会与法,http://45.192.97.170:8880/play/392.m3u8
CCTV-13新闻,http://45.192.97.170:8880/play/393.m3u8
CCTV-14少儿,http://45.192.97.170:8880/play/394.m3u8
CCTV-15音乐,http://45.192.97.170:8880/play/395.m3u8
CCTV-16奥林匹克,http://45.192.97.170:8880/play/396.m3u8
CCTV-17农业农村,http://45.192.97.170:8880/play/397.m3u8
CCTV-兵器科技,http://45.192.97.170:8880/play/398.m3u8
CCTV-女性时尚,http://45.192.97.170:8880/play/399.m3u8
CCTV-世界地理,http://45.192.97.170:8880/play/400.m3u8
CCTV-卫生健康,http://45.192.97.170:8880/play/401.m3u8
CCTV-央视文化精品,http://45.192.97.170:8880/play/402.m3u8
CCTV-第一剧场,http://45.192.97.170:8880/play/403.m3u8
CCTV-怀旧剧场,http://45.192.97.170:8880/play/404.m3u8
CCTV-风云剧场,http://45.192.97.170:8880/play/405.m3u8
CCTV-风云足球,http://45.192.97.170:8880/play/406.m3u8
CCTV-风云音乐,http://45.192.97.170:8880/play/407.m3u8
CCTV-央视台球,http://45.192.97.170:8880/play/408.m3u8
CCTV-高尔夫网球,http://45.192.97.170:8880/play/409.m3u8
安徽卫视,http://45.192.97.170:8880/play/410.m3u8
北京卫视,http://45.192.97.170:8880/play/411.m3u8
东方卫视,http://45.192.97.170:8880/play/412.m3u8
东南卫视,http://45.192.97.170:8880/play/413.m3u8
广东卫视,http://45.192.97.170:8880/play/414.m3u8
湖南卫视,http://45.192.97.170:8880/play/415.m3u8
江苏卫视,http://45.192.97.170:8880/play/416.m3u8
江西卫视,http://45.192.97.170:8880/play/417.m3u8
辽宁卫视,http://45.192.97.170:8880/play/418.m3u8
山东卫视,http://45.192.97.170:8880/play/419.m3u8
深圳卫视,http://45.192.97.170:8880/play/420.m3u8
天津卫视,http://45.192.97.170:8880/play/421.m3u8
